Model,Best_Params,CV_AUC_Mean,CV_AUC_Std,Best_CV_Score,Train_AUC,Train_Accuracy,Train_Precision,Train_Recall,Train_F1,Test_AUC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1
XGBoost,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}",0.9562363294600136,0.01237669612376317,0.9562363294600136,0.9933822889469104,0.9602021478205938,0.9598804148780647,0.9602021478205938,0.9598523129933324,0.9624479166666666,0.9141414141414141,0.9125344352617079,0.9141414141414141,0.912839782261979
LightGBM,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 200, 'num_leaves': 20}",0.9564079944178628,0.010419868125506881,0.9564079944178628,0.9914664926022628,0.9532533164876816,0.9528286797764032,0.9532533164876816,0.9529094755396396,0.9568402777777778,0.9242424242424242,0.9229352792743641,0.9242424242424242,0.92278213589689
Random Forest,"{'max_depth': 7, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",0.9494254101161996,0.01189886134921295,0.9494254101161996,0.9797302001740643,0.9260897030953885,0.9248454093085632,0.9260897030953885,0.9248514875746422,0.9518576388888889,0.8813131313131313,0.8780209891615226,0.8813131313131313,0.8787750003219618
SVM,"{'svc__C': 10.0, 'svc__gamma': 'scale'}",0.9238832165641376,0.006214567609146039,0.9238832165641376,0.945214316797215,0.9001895135818067,0.8981799209754056,0.9001895135818067,0.8962245290975813,0.9034375,0.8636363636363636,0.8585610708310096,0.8636363636363636,0.8557891163842124
Decision Tree,"{'max_depth': 7, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.9202996126680336,0.026027271257217228,0.9202996126680336,0.9700968233246301,0.9153506001263424,0.9136694920847437,0.9153506001263424,0.913350989801073,0.8694270833333333,0.8762626262626263,0.8720370659435469,0.8762626262626263,0.8719571730268652
Logistic Regression,"{'C': 0.1, 'solver': 'liblinear'}",0.7532849880382775,0.029731605397627134,0.7532849880382775,0.7589828111401219,0.7719519898926089,0.767116561319773,0.7719519898926089,0.6955395772931586,0.6967361111111111,0.7828282828282829,0.7761927788523533,0.7828282828282829,0.7238937013472823
