Model,Best_Params,CV_AUC_Mean,CV_AUC_Std,Best_CV_Score,Train_AUC,Train_Accuracy,Train_Precision,Train_Recall,Train_F1,Test_AUC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1
LightGBM,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 100, 'num_leaves': 20}",0.9818072916666667,0.004432415770012544,0.9818072916666667,0.9972993055555555,0.9720833333333333,0.9720915293668293,0.9720833333333333,0.9720832121667194,0.9571875,0.9191919191919192,0.9191919191919192,0.9191919191919192,0.9191919191919192
XGBoost,"{'learning_rate': 0.2, 'max_depth': 4, 'n_estimators': 200, 'subsample': 1.0}",0.980267361111111,0.004030883620540977,0.980267361111111,0.9967243055555556,0.9683333333333334,0.9683333333333334,0.9683333333333334,0.9683333333333334,0.9568229166666667,0.898989898989899,0.898989898989899,0.898989898989899,0.898989898989899
Random Forest,"{'max_depth': 7, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9697395833333333,0.004440780825082425,0.9697395833333333,0.9829180555555554,0.9354166666666667,0.9365447103243867,0.9354166666666667,0.9353749184151775,0.9496354166666667,0.8813131313131313,0.8858898260960116,0.8813131313131313,0.8830665928930949
SVM,"{'svc__C': 10.0, 'svc__gamma': 'scale'}",0.9467343750000001,0.005186308756202286,0.9467343750000001,0.9564930555555555,0.9004166666666666,0.9010854208997083,0.9004166666666666,0.9003751390119389,0.8984548611111112,0.8686868686868687,0.8686868686868687,0.8686868686868687,0.8686868686868687
Decision Tree,"{'max_depth': 7, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.9539878472222222,0.004303681127601247,0.9539878472222222,0.9802135416666667,0.9329166666666666,0.9330492880111202,0.9329166666666666,0.9329115302056981,0.8961979166666667,0.8787878787878788,0.8840421127343704,0.8787878787878788,0.8807609574516774
Logistic Regression,"{'C': 1.0, 'solver': 'lbfgs'}",0.7533628472222222,0.016684092452759387,0.7533628472222222,0.7544298611111112,0.7004166666666667,0.7057385808315233,0.7004166666666667,0.6984666989704778,0.7126736111111112,0.6262626262626263,0.7432797698755147,0.6262626262626263,0.652955192380722
