Exposure_dose_ug_per_ml_log,Surface_area_m2g_log,Formation_enthalpy_eV,Exposure_time_hr,Hydro_size_nm_log,Toxicity
0.0,4.499920775268994,-9.779,24.0,5.990338913820472,0
1.6094379124341003,4.499920775268994,-9.779,24.0,5.990338913820472,0
2.1972245773362196,4.499920775268994,-9.779,24.0,5.990338913820472,0
2.833213344056216,4.499920775268994,-9.779,24.0,5.990338913820472,0
3.4965075614664802,4.499920775268994,-9.779,24.0,5.990338913820472,0
4.174387269895637,4.499920775268994,-9.779,24.0,5.990338913820472,0
0.0,4.499920775268994,-9.779,24.0,5.990338913820472,0
1.6094379124341003,4.499920775268994,-9.779,24.0,5.990338913820472,0
2.1972245773362196,4.499920775268994,-9.779,24.0,5.990338913820472,0
2.833213344056216,4.499920775268994,-9.779,24.0,5.990338913820472,0
3.4965075614664802,4.499920775268994,-9.779,24.0,5.990338913820472,0
4.174387269895637,4.499920775268994,-9.779,24.0,5.990338913820472,0
0.0,2.9231615807191558,-3.608,24.0,5.489557368849238,0
1.6094379124341003,2.9231615807191558,-3.608,24.0,5.489557368849238,0
2.1972245773362196,2.9231615807191558,-3.608,24.0,5.489557368849238,0
2.833213344056216,2.9231615807191558,-3.608,24.0,5.489557368849238,0
3.4965075614664802,2.9231615807191558,-3.608,24.0,5.489557368849238,1
4.174387269895637,2.9231615807191558,-3.608,24.0,5.489557368849238,1
0.0,2.9231615807191558,-3.608,24.0,5.489557368849238,0
1.6094379124341003,2.9231615807191558,-3.608,24.0,5.489557368849238,0
2.1972245773362196,2.9231615807191558,-3.608,24.0,5.489557368849238,0
2.833213344056216,2.9231615807191558,-3.608,24.0,5.489557368849238,0
3.4965075614664802,2.9231615807191558,-3.608,24.0,5.489557368849238,1
4.174387269895637,2.9231615807191558,-3.608,24.0,5.489557368849238,1
0.6931471805599453,2.9014215940827497,-1.609,24.0,4.990432586778736,0
1.791759469228055,2.9014215940827497,-1.609,24.0,4.990432586778736,0
2.3978952727983707,2.9014215940827497,-1.609,24.0,4.990432586778736,0
2.772588722239781,2.9014215940827497,-1.609,24.0,4.990432586778736,0
2.917770732084279,2.9014215940827497,-1.609,24.0,4.990432586778736,0
0.6931471805599453,3.8501476017100584,-9.779,24.0,5.993961427306569,0
2.1400661634962708,3.8501476017100584,-9.779,24.0,5.993961427306569,0
3.258096538021482,3.8501476017100584,-9.779,24.0,5.993961427306569,0
0.0,4.04305126783455,-11.59,24.0,7.340186835320115,0
4.61512051684126,4.04305126783455,-11.59,24.0,7.340186835320115,0
5.303304908059076,4.04305126783455,-11.59,24.0,7.340186835320115,0
5.993961427306569,4.04305126783455,-11.59,24.0,7.340186835320115,0
6.398594934535208,4.04305126783455,-11.59,24.0,7.340186835320115,0
0.0,4.04305126783455,-11.59,24.0,7.340186835320115,0
4.61512051684126,4.04305126783455,-11.59,24.0,7.340186835320115,0
5.303304908059076,4.04305126783455,-11.59,24.0,7.340186835320115,0
5.993961427306569,4.04305126783455,-11.59,24.0,7.340186835320115,0
6.398594934535208,4.04305126783455,-11.59,24.0,7.340186835320115,0
0.0,3.4326960487215263,-9.779,48.0,6.171074096398463,0
2.3978952727983707,3.4326960487215263,-9.779,48.0,6.171074096398463,0
3.858622228701031,3.4326960487215263,-9.779,48.0,6.171074096398463,0
4.61512051684126,3.4326960487215263,-9.779,48.0,6.171074096398463,0
0.0,3.4326960487215263,-9.779,48.0,6.171074096398463,0
2.3978952727983707,3.4326960487215263,-9.779,48.0,6.171074096398463,0
3.858622228701031,3.4326960487215263,-9.779,48.0,6.171074096398463,0
4.61512051684126,3.4326960487215263,-9.779,48.0,6.171074096398463,0
0.0,5.469774364684909,-9.779,24.0,3.4657359027997265,0
3.258096538021482,5.469774364684909,-9.779,24.0,3.4657359027997265,0
3.9318256327243257,5.469774364684909,-9.779,24.0,3.4657359027997265,0
4.61512051684126,5.469774364684909,-9.779,24.0,3.4657359027997265,0
5.303304908059076,5.469774364684909,-9.779,24.0,3.4657359027997265,0
5.993961427306569,5.469774364684909,-9.779,24.0,3.4657359027997265,0
6.68586094706836,5.469774364684909,-9.779,24.0,3.4657359027997265,0
0.0,4.990432586778736,-9.779,24.0,5.424950017481403,0
2.772588722239781,4.990432586778736,-9.779,24.0,5.424950017481403,0
3.4339872044851463,4.990432586778736,-9.779,24.0,5.424950017481403,0
4.110873864173311,4.990432586778736,-9.779,24.0,5.424950017481403,0
4.795790545596741,4.990432586778736,-9.779,24.0,5.424950017481403,0
0.0,4.127134385045092,-9.779,24.0,6.9985096422506015,0
2.772588722239781,4.127134385045092,-9.779,24.0,6.9985096422506015,0
3.4339872044851463,4.127134385045092,-9.779,24.0,6.9985096422506015,0
4.110873864173311,4.127134385045092,-9.779,24.0,6.9985096422506015,0
4.795790545596741,4.127134385045092,-9.779,24.0,6.9985096422506015,0
0.0,3.7376696182833684,-9.779,24.0,7.151485463904735,0
2.772588722239781,3.7376696182833684,-9.779,24.0,7.151485463904735,0
3.4339872044851463,3.7376696182833684,-9.779,24.0,7.151485463904735,0
4.110873864173311,3.7376696182833684,-9.779,24.0,7.151485463904735,0
4.795790545596741,3.7376696182833684,-9.779,24.0,7.151485463904735,1
0.0,4.127134385045092,-9.779,24.0,7.243512974665482,0
2.772588722239781,4.127134385045092,-9.779,24.0,7.243512974665482,0
3.4339872044851463,4.127134385045092,-9.779,24.0,7.243512974665482,0
4.110873864173311,4.127134385045092,-9.779,24.0,7.243512974665482,0
