Model,Best_Params,CV_AUC_Mean,CV_AUC_Std,Best_CV_Score,Train_AUC,Train_Accuracy,Train_Precision,Train_Recall,Train_F1,Test_AUC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1
XGBoost,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}",0.9829149305555556,0.004101388977076033,0.9829149305555556,0.9990847222222222,0.9825,0.9825857930298718,0.9825,0.9824992221876527,0.9600347222222222,0.8787878787878788,0.8853114478114478,0.8787878787878788,0.881116082796755
Random Forest,"{'max_depth': 7, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.9706423611111111,0.006928867077497116,0.9706423611111111,0.9825861111111112,0.93375,0.9355432890003355,0.93375,0.9336817359396502,0.9566319444444445,0.8787878787878788,0.897856649991375,0.8787878787878788,0.8835346471710108
LightGBM,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 200, 'num_leaves': 20}",0.9820625,0.004504977849488535,0.9820625,0.9994027777777778,0.98375,0.9837772124682014,0.98375,0.9837497714811616,0.9562152777777778,0.8888888888888888,0.8926940639269407,0.8888888888888888,0.8903603603603604
SVM,"{'svc__C': 10.0, 'svc__gamma': 'scale'}",0.9622934027777778,0.007128799479688361,0.9622934027777778,0.9717673611111111,0.9170833333333334,0.9171322884421852,0.9170833333333334,0.9170809004639197,0.949861111111111,0.8737373737373737,0.8878887644891791,0.8737373737373737,0.8778245867790867
Decision Tree,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.9551684027777778,0.009975813790039041,0.9551684027777778,0.9908034722222222,0.9445833333333333,0.9445984620309995,0.9445833333333333,0.9445828619028184,0.9265451388888888,0.8914141414141414,0.8946186742336383,0.8914141414141414,0.8926830483348318
Logistic Regression,"{'C': 0.1, 'solver': 'lbfgs'}",0.7959913194444446,0.010079333027656494,0.7959913194444446,0.797713888888889,0.7779166666666667,0.7815868778544797,0.7779166666666667,0.7771906408224996,0.8004166666666664,0.7727272727272727,0.8282039911308204,0.7727272727272727,0.786433079116006
