Model,Best_Params,CV_AUC_Mean,CV_AUC_Std,Best_CV_Score,Train_AUC,Train_Accuracy,Train_Precision,Train_Recall,Train_F1,Test_AUC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1
XGBoost,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.9637930052403736,0.008673868711718567,0.9637930052403736,0.9930472149695387,0.9639924194567278,0.9639050253144941,0.9639924194567278,0.9639441079325591,0.9626562499999999,0.9116161616161617,0.9103628611825333,0.9116161616161617,0.9107997819713911
Random Forest,"{'max_depth': 7, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9515218443836865,0.010067592243619933,0.9515218443836865,0.9824575718015667,0.9317751105495894,0.9307864096751616,0.9317751105495894,0.9309421561106431,0.9626388888888888,0.898989898989899,0.8968909878000787,0.898989898989899,0.8974585673670341
LightGBM,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 200, 'num_leaves': 20}",0.9634906157439052,0.010311197470697524,0.9634906157439052,0.9943070060922541,0.965255843335439,0.965013822725286,0.965255843335439,0.965016765515018,0.9589062500000001,0.9141414141414141,0.9131258234519104,0.9141414141414141,0.9135123248833268
SVM,"{'svc__C': 10.0, 'svc__gamma': 'scale'}",0.9395146246297562,0.012937186434646161,0.9395146246297562,0.959093777197563,0.9216677195198989,0.9204727492152595,0.9216677195198989,0.9207886737527221,0.9424305555555555,0.8939393939393939,0.8910817031070196,0.8939393939393939,0.890495867768595
Decision Tree,"{'max_depth': 7, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.9206118990658464,0.0167690706673989,0.9206118990658464,0.9732702349869452,0.9248262792166771,0.9238569687859907,0.9248262792166771,0.9241654800985166,0.9085243055555555,0.8661616161616161,0.865697012086241,0.8661616161616161,0.8659226003094425
Logistic Regression,"{'C': 10.0, 'solver': 'liblinear'}",0.8189485788334473,0.03496040741794378,0.8189485788334473,0.8230363359442994,0.8269109286165508,0.8169224622664109,0.8269109286165508,0.8100602885493666,0.8043055555555555,0.8181818181818182,0.8087774294670846,0.8181818181818182,0.7946127946127945
